tick,humans,zombies
1,800,40
2,800,40
3,800,40
4,800,40
5,800,40
6,800,40
7,800,40
8,800,40
9,800,40
10,800,40
11,798,42
12,793,47
13,793,47
14,791,49
15,790,50
16,789,51
17,786,54
18,786,54
19,784,56
20,782,58
21,782,58
22,782,58
23,782,58
24,781,59
25,780,60
26,780,60
27,779,61
28,778,62
29,776,64
30,775,65
31,775,65
32,774,66
33,774,66
34,772,68
35,770,70
36,769,71
37,768,72
38,768,72
39,768,72
40,768,72
41,768,72
42,768,72
43,768,72
44,768,72
45,767,73
46,766,74
47,764,76
48,764,76
49,764,76
50,764,76
