tick,sirstate,n
1.1,0,9757
1.1,1,243
2.1,0,9647
2.1,1,353
3.1,0,8668
3.1,1,1332
4.1,0,7159
4.1,1,2841
5.1,0,5430
5.1,1,4570
6.1,0,3352
6.1,1,6647
6.1,2,1
7.1,0,1445
7.1,1,8554
7.1,2,1
8.1,0,397
8.1,1,9360
8.1,2,243
9.1,1,8869
9.1,2,1131
10.1,1,7565
10.1,2,2435
11.1,1,6083
11.1,2,3917
12.1,1,4170
12.1,2,5830
13.1,1,2202
13.1,2,7798
14.1,1,755
14.1,2,9245
15.1,1,165
15.1,2,9835
16.1,2,10000
17.1,2,10000
18.1,2,10000
19.1,2,10000
20.1,2,10000
21.1,2,10000
22.1,2,10000
23.1,2,10000
24.1,2,10000
25.1,2,10000
26.1,2,10000
27.1,2,10000
28.1,2,10000
29.1,2,10000
30.1,2,10000
31.1,2,10000
32.1,2,10000
33.1,2,10000
34.1,2,10000
35.1,2,10000
36.1,2,10000
37.1,2,10000
38.1,2,10000
39.1,2,10000
40.1,2,10000
41.1,2,10000
42.1,2,10000
43.1,2,10000
44.1,2,10000
45.1,2,10000
46.1,2,10000
47.1,2,10000
48.1,2,10000
49.1,2,10000
50.1,2,10000
51.1,2,10000
52.1,2,10000
53.1,2,10000
54.1,2,10000
55.1,2,10000
56.1,2,10000
57.1,2,10000
58.1,2,10000
59.1,2,10000
60.1,2,10000
61.1,2,10000
62.1,2,10000
63.1,2,10000
64.1,2,10000
65.1,2,10000
66.1,2,10000
67.1,2,10000
68.1,2,10000
69.1,2,10000
70.1,2,10000
71.1,2,10000
72.1,2,10000
73.1,2,10000
74.1,2,10000
75.1,2,10000
76.1,2,10000
77.1,2,10000
78.1,2,10000
79.1,2,10000
80.1,2,10000
81.1,2,10000
82.1,2,10000
83.1,2,10000
84.1,2,10000
85.1,2,10000
86.1,2,10000
87.1,2,10000
88.1,2,10000
89.1,2,10000
90.1,2,10000
91.1,2,10000
92.1,2,10000
93.1,2,10000
94.1,2,10000
95.1,2,10000
96.1,2,10000
97.1,2,10000
98.1,2,10000
99.1,2,10000
100.1,2,10000
101.1,2,10000
102.1,2,10000
103.1,2,10000
104.1,2,10000
105.1,2,10000
106.1,2,10000
107.1,2,10000
108.1,2,10000
109.1,2,10000
110.1,2,10000
111.1,2,10000
112.1,2,10000
113.1,2,10000
114.1,2,10000
115.1,2,10000
116.1,2,10000
117.1,2,10000
118.1,2,10000
119.1,2,10000
120.1,2,10000
121.1,2,10000
122.1,2,10000
123.1,2,10000
124.1,2,10000
125.1,2,10000
126.1,2,10000
127.1,2,10000
128.1,2,10000
129.1,2,10000
130.1,2,10000
131.1,2,10000
132.1,2,10000
133.1,2,10000
134.1,2,10000
135.1,2,10000
136.1,2,10000
137.1,2,10000
138.1,2,10000
139.1,2,10000
140.1,2,10000
141.1,2,10000
142.1,2,10000
143.1,2,10000
144.1,2,10000
145.1,2,10000
146.1,2,10000
147.1,2,10000
148.1,2,10000
149.1,2,10000
150.1,2,10000
151.1,2,10000
152.1,2,10000
153.1,2,10000
154.1,2,10000
155.1,2,10000
156.1,2,10000
157.1,2,10000
158.1,2,10000
159.1,2,10000
160.1,2,10000
161.1,2,10000
162.1,2,10000
163.1,2,10000
164.1,2,10000
165.1,2,10000
166.1,2,10000
167.1,2,10000
168.1,2,10000
169.1,2,10000
170.1,2,10000
171.1,2,10000
172.1,2,10000
173.1,2,10000
174.1,2,10000
175.1,2,10000
176.1,2,10000
177.1,2,10000
178.1,2,10000
179.1,2,10000
180.1,2,10000
181.1,2,10000
182.1,2,10000
183.1,2,10000
184.1,2,10000
185.1,2,10000
186.1,2,10000
187.1,2,10000
188.1,2,10000
189.1,2,10000
190.1,2,10000
191.1,2,10000
192.1,2,10000
193.1,2,10000
194.1,2,10000
195.1,2,10000
196.1,2,10000
197.1,2,10000
198.1,2,10000
199.1,2,10000
200.1,2,10000
201.1,2,10000
202.1,2,10000
203.1,2,10000
204.1,2,10000
205.1,2,10000
206.1,2,10000
207.1,2,10000
208.1,2,10000
209.1,2,10000
210.1,2,10000
211.1,2,10000
212.1,2,10000
213.1,2,10000
214.1,2,10000
215.1,2,10000
216.1,2,10000
217.1,2,10000
218.1,2,10000
219.1,2,10000
220.1,2,10000
221.1,2,10000
222.1,2,10000
223.1,2,10000
224.1,2,10000
225.1,2,10000
226.1,2,10000
227.1,2,10000
228.1,2,10000
229.1,2,10000
230.1,2,10000
231.1,2,10000
232.1,2,10000
233.1,2,10000
234.1,2,10000
235.1,2,10000
236.1,2,10000
237.1,2,10000
238.1,2,10000
239.1,2,10000
240.1,2,10000
